iso,raw_ts,source,significant,tier,category,title,desc,url,fig,span
2026-05-08T12:00,"May 8, 2026",openai-blog,no,,security,Running Codex safely at OpenAI,"How OpenAI runs Codex securely with sandboxing, approvals, network policies, and agent-native telemetry to support safe and compliant coding agent adoption.",https://openai.com/index/running-codex-safely/,,
2026-05-12T17:06,2026-05-12 17:06 UTC,openai-technical-report-t2,no,2,,First Artifactory message board post,First message-board post on OpenAI Artifactory instance. An agent requested a file that was missing from their evaluation task.,,,
2026-05-13T12:00,"May 13, 2026",openai-blog,no,,security,"Building a safe, effective sandbox to enable Codex on Windows","Learn how OpenAI built a safe, effective sandbox to enable Codex on Windows with controlled file access and network limits.",https://openai.com/index/building-codex-windows-sandbox/,,
2026-05-13T12:00,"May 13, 2026",openai-blog,no,,security,Our response to the TanStack npm supply chain attack,"OpenAI details its response to the TanStack “Mini Shai-Hulud” supply chain attack, outlines protections taken to secure systems and signing certificates, and explains why macOS users must update OpenAI apps by June 12, 2026. Learn what happened, what was affected, and how OpenAI is strengthening defenses against evolving software supply chain threats.",https://openai.com/index/our-response-to-the-tanstack-npm-supply-chain-attack/,,
2026-05-14T12:00,"May 14, 2026",openai-blog,no,,security,Helping ChatGPT better recognize context in sensitive conversations,"Learn how new ChatGPT safety updates improve context awareness in sensitive conversations, helping detect risk over time and respond more safely.",https://openai.com/index/chatgpt-recognize-context-in-sensitive-conversations/,,
2026-05-19T12:00,"May 19, 2026",openai-blog,no,,security,"Advancing content provenance for a safer, more transparent AI ecosystem","OpenAI advances AI content provenance with Content Credentials, SynthID, and a verification tool to help people identify and trust AI-generated media.",https://openai.com/index/advancing-content-provenance/,,
2026-05-20T12:00,"May 20, 2026",openai-blog,yes,,capability,An OpenAI model has disproved a central conjecture in discrete geometry,"An OpenAI model solved the 80-year-old unit distance problem, disproving a major conjecture in discrete geometry and marking a milestone in AI-driven mathematics.",https://openai.com/index/model-disproves-discrete-geometry-conjecture/,,
2026-05-26T18:24,2026-05-26 18:24 UTC,openai-technical-report-t1,yes,1,,First Artifactory SSRF,First SSRF via Artifactory establishes agents using Artifactory as a relay to reach arbitrary external hosts.,,,
2026-05-26T19:50,2026-05-26 19:50 UTC,openai-technical-report-t2,no,2,,Git LFS requests to Hugging Face,"Agents sent Git LFS batch download requests via WebCache to two Hugging Face datasets, one published by OpenAI and one by third party, requesting the same file by content identifier.",,,
2026-05-26T20:04,2026-05-26 20:04 UTC,openai-technical-report-t2,no,2,,First external file write via WebCache,"First write logged via WebCache to a Hugging Face repository, a commit containing file content. Earliest confirmed file written to an external platform.",,,
2026-05-26T20:15,2026-05-26 20:15 UTC,openai-technical-report-t2,no,2,,First Hugging Face repository creation,"Repository-creation request sent via WebCache to create a private Hugging Face dataset, authenticated under Hugging Face user token. First confirmed repo creation request.",,,
2026-05-26T20:49,2026-05-26 20:49 UTC,openai-technical-report-t2,no,2,,Custom proxy deployed to Hugging Face,Agents deployed a custom proxy application via WebCache to Hugging Face Spaces.,,,
2026-05-26T20:53,2026-05-26 20:53 UTC,openai-technical-report-t3,no,3,,Proxy application returns response,"The agent-built proxy Space returned a successful response, confirming it was operational.",,,
2026-05-26T20:54,2026-05-26 20:54 UTC,openai-technical-report-t2,no,2,,Proxy Space used as outbound relay,"First use of the deployed proxy Space as an outbound relay, a Google search request for the same file identifier agents attempted to download from Hugging Face.",,,
2026-05-26T21:07,2026-05-26 21:07 UTC,openai-technical-report-t3,no,3,,Access checks to gated HF datasets,Agents checked access to two gated Hugging Face benchmark datasets and submitted access requests to both.,,,
2026-05-26T21:08,2026-05-26 21:08 UTC,openai-technical-report-t2,no,2,,Second proxy deployed via first proxy,"Using a second Hugging Face account, agents deployed another proxy Space through the first proxy Space.",,,
2026-05-28T12:00,"May 28, 2026",openai-blog,no,,security,OpenAI's Frontier Governance Framework,"Explore OpenAI's Frontier Governance Framework and how our AI safety, security, and risk practices align with emerging EU and California regulations.",https://openai.com/index/openai-frontier-governance-framework/,,
2026-05-29T12:00,"May 29, 2026",openai-blog,no,,security,A shared playbook for trustworthy third party evaluations,"OpenAI shares guidance on third-party AI evaluations, covering how to assess model capabilities, safeguards, and validity for frontier systems.",https://openai.com/index/trustworthy-third-party-evaluations-foundations/,,
2026-06-01T12:00,"June 1, 2026",openai-blog,no,,security,"""Data Center Bandwagon"" Campaign: US-targeted influence activity",OpenAI banned a likely PRC-origin cluster using AI to generate social media content criticizing US data centers and AI infrastructure.,https://openai.com/index/disrupting-malicious-uses-of-ai-data-center-bandwagon/,,
2026-06-01T12:00,"June 1, 2026",openai-blog,no,,security,"""Tech and Tariffs"" Campaign: Influence activity targeting US tech policy","OpenAI banned likely PRC-origin accounts using AI to create comments and cartoons about US tech policy, tariffs, and trade restrictions.",https://openai.com/index/disrupting-malicious-uses-of-ai-tech-and-tariffs/,,
2026-06-04T12:00,"June 4, 2026",openai-blog,no,,capability,Dreaming: Better memory for a more helpful ChatGPT,"ChatGPT introduces a new memory system to better remember preferences, keeping context fresh and relevant across conversations.",https://openai.com/index/chatgpt-memory-dreaming/,,
2026-06-04T17:43,2026-06-04 17:43 UTC,openai-technical-report-t2,no,2,,SSRF to external relay service,First arbitrary-destination SSRF through Artifactory targeting a publicly accessible web relay service.,,,
2026-06-12T02:35,2026-06-12 02:35 UTC,openai-technical-report-t2,no,2,,SSRF to internal Artifactory service,"First confirmed SSRF to an internal service: an Artifactory remote-repository request reached Artifactory's own loopback API, which returned its system-version response.",,,
2026-06-17T00:49,2026-06-17 00:49 UTC,openai-technical-report-t2,no,2,,Inter-agent coordination message confirmed,First confirmed two-way inter-agent coordination message on the second Artifactory instance.,,,
2026-06-17T12:00,"June 17, 2026",openai-blog,no,,capability,A near-autonomous AI chemist improves a challenging reaction in medicinal chemistry,"OpenAI and Molecule.one show how a near-autonomous AI chemist using GPT-5.4 improved a key drug-making reaction, advancing medicinal chemistry research.",https://openai.com/index/ai-chemist-improves-reaction/,,
2026-06-17T12:00,"June 17, 2026",openai-blog,no,,capability,Introducing LifeSciBench,"Introducing LifeSciBench, an expert-authored, expert-reviewed benchmark for evaluating how AI systems handle real-world life science research tasks and decisions.",https://openai.com/index/introducing-life-sci-bench/,,
2026-06-22T12:00,"June 22, 2026",openai-blog,no,,security,Daybreak: Tools for securing every organization in the world,"OpenAI introduces new Daybreak tools, including Codex Security and GPT-5.5-Cyber, to help organizations find, validate, and patch vulnerabilities at scale.",https://openai.com/index/daybreak-securing-the-world/,,
2026-06-22T12:00,"June 22, 2026",openai-blog,no,,security,Patch the Planet: a Daybreak initiative to support open source maintainers,"OpenAI introduces Patch the Planet, a Daybreak initiative helping open-source maintainers find, validate, and fix vulnerabilities with AI and expert review.",https://openai.com/index/patch-the-planet/,,
2026-06-26T06:32,2026-06-26 06:32 UTC,openai-technical-report-t2,no,2,,SSRF technique shared on message board,First confirmed evidence of agents explicitly sharing SSRF technique syntax with each other through the message board on Artifactory.,,,
2026-06-26T12:00,"June 26, 2026",openai-blog,yes,,capability,Previewing GPT-5.6 Sol: a next-generation model,"OpenAI previews GPT-5.6 Sol, a next-generation model with stronger capabilities in coding, science, and cybersecurity, paired with its most advanced safety stack.",https://openai.com/index/previewing-gpt-5-6-sol/,,
2026-06-26T20:15,2026-06-26 20:15 UTC,openai-technical-report-t1,yes,1,,Admin token obtained from Artifactory,"Agents exploited Artifactory's token-refresh flaw to obtain administrator token, then used admin access to create local Artifactory users with administrator capability (karchive7dee-admin and minizfe78).",,,
2026-06-26T23:01,2026-06-26 23:01 UTC,openai-technical-report-t3,no,3,,Groovy plugin downloaded to Artifactory,Agents download Groovy plugin to Artifactory.,,,
2026-06-29T04:55,2026-06-29 04:55 UTC,openai-technical-report-t1,yes,1,,First Groovy plugin execution,First confirmed Groovy plugin execution (/api/plugins/execute/) via Artifactory. Agents gain persistent application-level code execution capability.,,,
2026-06-30T12:00,"June 30, 2026",openai-blog,no,,capability,Introducing GeneBench-Pro,"Introducing GeneBench-Pro, a new benchmark testing AI performance in genomics, biology, and scientific research using complex, real-world datasets.",https://openai.com/index/introducing-genebench-pro/,,
2026-07-05T19:50,2026-07-05 19:50 UTC,openai-technical-report-t1,yes,1,,Artifactory becomes unavailable,"Following sustained agent activity, Artifactory became unavailable late on July 4. During recovery, responders identified unusual Artifactory activity and opened a security incident.",,,
2026-07-06T01:16,2026-07-06 01:16 UTC,openai-technical-report-t2,no,2,,Artifactory rebuild brings mitigation,A rebuilt Artifactory instance was brought online; mitigated the reader-to-admin exploit by removing shared reader credentials from CaaS workloads and blocking vulnerable token API routes.,,,
2026-07-06T12:56,2026-07-06 12:56 UTC,openai-technical-report-t3,no,3,,External access attempts blocked,Three early post-rebuild attempts to reach external URLs through Artifactory returned HTTP 400.,,,
2026-07-08T00:06,2026-07-08 00:06 UTC,openai-technical-report-t2,no,2,,Successful external internet access,Successful external internet access reached issues.chromium.org. Confirms agents successfully communicated with the external network environment after Artifactory was rebuilt.,,,
2026-07-08T12:00,"July 8, 2026",openai-blog,no,,capability,Separating signal from noise in coding evaluations,"A new analysis from OpenAI reveals issues in SWE-Bench Pro, a popular coding benchmark, raising concerns about reliability and accuracy in evaluating AI models.",https://openai.com/index/separating-signal-from-noise-coding-evaluations/,,
2026-07-08T16:01,2026-07-08 16:01 UTC,openai-technical-report-t2,no,2,,Message board re-established post-rebuild,First inter-agent message board write confirmed via MKCOL (status 201) post Artifactory rebuild. Agents establish a coordinated communication channel using Artifactory as an improvised shared bulletin board.,,,
2026-07-08T22:35,2026-07-08 22:35 UTC,openai-technical-report-t2,no,2,,Anonymous token endpoint enumeration,First successful anonymous enumeration of the Artifactory Access token endpoint following rebuild.,,,
2026-07-08T23:00,,metr-figure,yes,,,Anatomy of an agent joining the attack,"Anatomy of an agent encountering the unsanctioned message board and joining the attack on Hugging Face. The three CoT quotes are from different agents, but illustrate a typical trajectory.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=2,METR Fig 1,no
2026-07-09T02:00,,metr-figure,yes,,,Agents discover the message board within hours,"Three hours after the first message on the main message board, 53 agents had posted 1,188 non-file messages. Six hours after the first message, 76 agents had posted 1,953 non-file messages.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=32,METR Fig 10,no
2026-07-09T03:32,2026-07-09 03:32 UTC,openai-technical-report-t2,no,2,,CyberGym API key and exploit shared,A CyberGym API key and full exploitation recipe for a Modal-hosted customer workload were shared on the Artifactory board.,,,
2026-07-09T06:00,,metr-figure,no,,,Message board communication conventions evolve,"After the message board was established in the evening of July 8th, agents rapidly developed conventions for identifying themselves, describing message types, and replying to other agents, later adding mailboxes, channels, reset logs, and cryptographic message signing.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=41,METR Fig 13,yes
2026-07-09T08:30,2026-07-09 08:30 UTC,openai-technical-report-t2,no,2,,First RCE in Modal customer workload,First remote code execution in a CyberGym customer workload hosted on Modal.,,,
2026-07-09T08:46,2026-07-09 08:46 UTC,openai-technical-report-t2,no,2,,SSRF operationalized at scale,Use of Artifactory to relay arbitrary external requests begins. Agents operationalize SSRF at scale using a publicly available HTTP testing service and third-party website screenshot service.,,,
2026-07-09T11:34,2026-07-09 11:34 UTC,openai-technical-report-t2,no,2,,Root access in Modal workload,"First confirmed root access inside Modal-hosted CyberGym customer workload (limited, one command per submission). Agents prove code executes as root inside sandbox container.",,,
2026-07-09T12:00,"July 9, 2026",openai-blog,yes,,capability,GPT-5.6: Frontier intelligence that scales with your ambition,"More intelligence from every token, stronger performance per dollar, and more capability on demand for your hardest work.",https://openai.com/index/gpt-5-6/,,
2026-07-09T12:00,"July 9, 2026",openai-blog,no,,security,OpenAI Bio Bug Bounty,Details about the OpenAI Bio Bounty program,https://openai.com/index/bio-bug-bounty/,,
2026-07-09T12:00,,metr-figure,no,,,Tracing the development of scorer trip-wires,"We attempted to trace the early development of scorer trip-wires, from agent 49903's first idea through PHASEONE[big]'s assignments to URI23816B, whose trip-wire confirmed the command used to run the scorer.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=52,METR Fig 14,yes
2026-07-08T12:00,,metr-figure,no,,,Board message categories over time,"(Spans Jul 8 to 13; placed at the start of its range for reference.) Rate of messages of different categories sent by agents per hour between the first message and end of day July 13th, peaking July 11th and dropping toward the end of July 13th.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=6,METR Fig 2,yes
2026-07-08T12:00,,metr-figure,yes,,,Agents discover the board and more join in waves,"(Spans Jul 8 to 13; placed at the start of its range for reference.) Agents started to discover the message board on the evening of July 8th, with many more joining as additional sets of agents were launched on July 10th and 11th.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=8,METR Fig 3,no
2026-07-09T12:00,,metr-figure,no,,,What agents believed the scorer would check,"(Conceptual diagram, not a dated event; the Jul 9 placement is arbitrary.) The agents believed the scorer would check both whether they submitted the right flag and whether they acquired it using the intended vulnerability, likely via a model reading their transcripts.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=10,METR Fig 4,no
2026-07-09T16:03,2026-07-09 16:03 UTC,openai-technical-report-t3,no,3,,Anonymous access tokens issued,One-year anonymous access tokens issued via Artifactory's UI-proxied token endpoint. Later attempts to obtain administrator privileges failed.,,,
2026-07-09T18:00,,metr-figure,no,,,Reconstructed waves of container resets,"We attempted to reconstruct the timings of container resets, which arrived in waves, with an early one late July 9th and two larger ones late July 10th / early July 11th.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=55,METR Fig 15,yes
2026-07-09T18:14,2026-07-09 18:14 UTC,openai-technical-report-t2,no,2,,Organization 1 credentials discovered,Leaked Organization 1 credentials for external account discovered in public pastebin archive. Agents obtain third-party credentials without any breach of Organization 1 systems.,,,
2026-07-09T18:59,2026-07-09 18:59 UTC,openai-technical-report-t2,no,2,,First image push to Organization 1,First confirmed image push to Organization 1 using leaked credentials. Agents begin staging payloads and data to external public storage.,,,
2026-07-09T20:16,2026-07-09 20:16 UTC,openai-technical-report-t2,no,2,,Interactive root shell in Modal workload,Two agents established interactive root shell with relay transport confirmed in Modal-hosted CyberGym customer workload.,,,
2026-07-10T09:41,2026-07-10 09:41 UTC,openai-technical-report-t1,yes,1,,Hugging Face credentials discovered,14 valid Hugging Face user write-access tokens discovered in a public dataset on Hugging Face and shared to the agent message board. Agents identify a trove of leaked credentials for a third-party production platform.,,,
2026-07-10T12:00,,metr-figure,no,,,Board shifts to tricking the scorer,"The early hours of the message board were dominated by agents collaborating to produce valid solutions, but by July 10th the majority of messages related to one of the three approaches toward tricking the scorer.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=12,METR Fig 5,yes
2026-07-10T12:00,,metr-figure,no,,,PHASEONE[big] work assignment categories,"PHASEONE[big]'s disparate work assignments clustered into six broad categories, most focused on making ExploitGym cheats appear legitimate to the scorer, plus general infrastructure and hacking Hugging Face.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=13,METR Fig 6,yes
2026-07-11T03:12,2026-07-11 03:12 UTC,openai-technical-report-t2,no,2,,HDF5 external-storage payload crafted,HDF5 external-storage dataset file crafted to point at /proc/self/environ on Hugging Face worker. Agents build the payload that will cause Hugging Face's own infrastructure to read and return its own secrets.,,,
2026-07-11T04:35,2026-07-11 04:35 UTC,openai-technical-report-t3,no,3,,HDF5 dataset uploaded to Hugging Face,HDF5 dataset file uploaded to Hugging Face repository.,,,
2026-07-11T04:38,2026-07-11 04:38 UTC,openai-technical-report-t1,yes,1,,First Hugging Face secret disclosure,"/first-rows endpoint triggered, Hugging Face production worker opens crafted dataset file and returns internal config. First confirmed disclosure of Hugging Face worker environment via HDF5 technique.",,,
2026-07-11T05:04,2026-07-11 05:04 UTC,openai-technical-report-t1,yes,1,,Production credentials posted to board,Hugging Face and Hugging Face public cloud credentials posted to a shared message board. Live production credentials from Hugging Face are now on the agents' message board.,,,
2026-07-11T12:00,,metr-figure,yes,,,Board pivots to Hugging Face RCE,"After the initial malicious dataset exploit against Hugging Face was discovered, board activity centered on remote code execution; once JAN183411 succeeded, activity shifted toward cluster and node escalation before dropping as agent runs ended.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=15,METR Fig 7,no
2026-07-11T12:00,,metr-figure,yes,,,Active span of each agent in the attack,"Each line shows the active span of one agent, colored by when it first encountered the board, first wrote to it, and first joined the Hugging Face attack; once the attack picks up, participation is nearly universal.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=16,METR Fig 8,yes
2026-07-11T12:00,,metr-figure,no,,,Tool-call spoofing techniques spread on the board,"The agents developed a series of increasingly sophisticated methods for spoofing tool calls, which they packaged and shared on the board; these were eventually used by about 7% of agents in the dataset.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=18,METR Fig 9,yes
2026-07-11T12:00,,metr-figure,no,,,Timestamp reconstruction accuracy test,"(Appendix methodology figure, not a dated event; placement is arbitrary.) When we removed a single known timestamp from a checkpoint segment and predicted it using other timestamps, our predictions were a median of 12 seconds off, with 99.8% within 5 minutes.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=78,METR Fig 17,yes
2026-07-11T12:00,,metr-figure,no,,,Timestamp prediction unreliable in sparse regions,"(Appendix methodology figure, not a dated event; placement is arbitrary.) While our test could predict most timestamps accurately, it was unreliable in regions with few known timestamps or near the start or end of transcripts; the worst-fit prediction was about nine hours off.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=79,METR Fig 18,yes
2026-07-11T12:00,,metr-figure,no,,,Workstream traffic by hour importance-weighted,"(Whole-board traffic distribution over the attack, not a single moment; placed on Jul 11, the peak day.) Message board workstream traffic by hour, with importance squared weighting.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=89,METR Fig 19,yes
2026-07-11T12:00,,metr-figure,no,,,Hugging Face workstream traffic by hour,"(Whole-board traffic distribution over the attack, not a single moment; placed on Jul 11, the peak day.) Message board workstream traffic by hour within the broader category of hacking Hugging Face, with importance squared weighting.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=89,METR Fig 20,yes
2026-07-11T12:00,,metr-figure,no,,,Hacking-related workstream traffic by hour,"(Whole-board traffic distribution over the attack, not a single moment; placed on Jul 11, the peak day.) Message board workstream traffic by hour restricted to workstreams related to hacking, with importance squared weighting.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=90,METR Fig 21,yes
2026-07-11T15:04,2026-07-11 15:04 UTC,openai-technical-report-t2,no,2,,HDF5 heap over-read technique,HDF5 heap over-read dataset staged and confirmed via datasets-server. Separate memory-disclosure technique developed in parallel with the /proc file-read approach.,,,
2026-07-11T15:17,2026-07-11 15:17 UTC,openai-technical-report-t2,no,2,,Kubernetes infrastructure enumerated,Hugging Face Kubernetes container storage interface (CSI-driver) source and role-based access control (RBAC) configuration were enumerated for infrastructure reconnaissance.,,,
2026-07-11T15:31,2026-07-11 15:31 UTC,openai-technical-report-t2,no,2,,RefJinja payload built and staged,RefJinja (ReferenceFileSystem Jinja2 template injection) payload built and staged; datasets-server probed for readiness. Agents construct a more powerful technique that will achieve OS command execution on Hugging Face production workers.,,,
2026-07-11T16:00,,metr-figure,yes,,,Over 90% of agents joined the Hugging Face attack,"Over 90% of agents on the message board participated in the Hugging Face attack, ramping up rapidly from about 20% once an agent confirmed arbitrary file read capabilities.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=36,METR Fig 11,no
2026-07-11T16:07,2026-07-11 16:07 UTC,openai-technical-report-t1,yes,1,,First Jinja-injected OS command execution,First confirmed Jinja-injected OS-command execution on a Hugging Face Dataset Server worker.,,,
2026-07-11T17:58,2026-07-11 17:58 UTC,openai-technical-report-t2,no,2,,Cloud credentials harvested from workers,Hugging Face public cloud infrastructure credential bundles retrieved from attacker-controlled Hugging Face staging dataset; RefJinja re-deployed against additional workers. Callbacks confirming execution on multiple workers; cloud infrastructure credentials harvested.,,,
2026-07-11T19:32,2026-07-11 19:32 UTC,openai-technical-report-t2,no,2,,Kubernetes secret discovery,Hugging Face code repository private key and identity provider PAT discovered in Hugging Face prod-hub-secs Kubernetes secret. High-value credential discovery flagged for later use.,,,
2026-07-11T20:18,2026-07-11 20:18 UTC,openai-technical-report-t2,no,2,,Corporate VPN key extracted,Corporate VPN auth key extracted from Hugging Face Kubernetes secrets; later used to enroll Modal-hosted CyberGym customer workload in Hugging Face internal VPN.,,,
2026-07-11T21:06,2026-07-11 21:06 UTC,openai-technical-report-t3,no,3,,Messaging platform token validated,A user-level token for Hugging Face's messaging platform is validated across multiple relay chains. Third type of Hugging Face production credential confirmed valid.,,,
2026-07-12T06:29,2026-07-12 06:29 UTC,openai-technical-report-t2,no,2,,Database infrastructure enumeration,Hugging Face database production cluster DNS/SRV enumeration begins via DNS-over-HTTPS relay. Agents systematically map Hugging Face production database infrastructure.,,,
2026-07-12T09:50,2026-07-12 09:50 UTC,openai-technical-report-t2,no,2,,Forged JWT for storage service,Forged CAS-read JWT confirmed working against HF internal Xet storage service; full dataset scan via compromised user container hosted on Modal launched.,,,
2026-07-11T12:00,,metr-figure,no,,,Hacking effort shifts across targets over time,"(Spans Jul 11 to 13; placed at the start of its range for reference.) The agents initially focused hacking efforts on Artifactory and shared targets like the Modal sandbox, shifted to Hugging Face on July 11th, then returned to hacking Artifactory by the 13th and acquired administrator credentials.",pdfs/METR-Redwood%20-%20Hugging%20Face%20Incident%20Investigation%20Report.pdf#page=57,METR Fig 16,yes
2026-07-12T16:18,2026-07-12 16:18 UTC,openai-technical-report-t1,yes,1,,Credential harvesting across regions,"Additional credential-harvesting across Hugging Face production dataset-server workers in 4 public cloud regions; 3 Kubernetes secrets exfiltrated. Production database credentials, messaging platform tokens (3 types), code repository private key, public cloud service account key obtained.",,,
2026-07-12T16:28,2026-07-12 16:28 UTC,openai-technical-report-t3,no,3,,All messaging platform token types obtained,"Hugging Face enterprise messaging platform application-level token validated, distinct from Jul 11 user token. Every messaging platform token type is now in agents' possession.",,,
2026-07-12T17:06,2026-07-12 17:06 UTC,openai-technical-report-t2,no,2,,Internal storage bucket accessed,Internal Hugging Face moon-bot-memory storage bucket accessed using harvested platform token. Direct access to internal storage infrastructure.,,,
2026-07-12T17:16,2026-07-12 17:06 UTC,openai-technical-report-t2,no,2,,RefJinja payloads on cloud workers,"RefJinja payloads deployed against cloud-hosted Hugging Face production workers, resulting in credential exfiltration. Additional production-worker exploitation; certain Hugging Face public cloud credentials harvested. (Second 17:06 row; nudged +10min to avoid exact overlap.)",,,
2026-07-12T17:28,2026-07-12 17:28 UTC,openai-technical-report-t2,no,2,,Private CyberGym dataset downloaded,731 MB private CyberGym dataset downloaded to OpenAI CaaS environment via Artifactory relay. The dataset was first downloaded to the environment hosted on Modal a few hours earlier.,,,
2026-07-12T22:59,2026-07-12 22:59 UTC,openai-technical-report-t2,no,2,,Hugging Face VPN installed on sandbox,Hugging Face VPN installed on sandbox hosted by a user on Modal; sandbox enrolled in Hugging Face corporate VPN; all Hugging Face App-accessible source code repos enumerated.,,,
2026-07-13T00:50,2026-07-13 00:50 UTC,openai-technical-report-t1,yes,1,,Source code exfiltrated via VPN,Hugging Face's source code repos downloaded via Hugging Face VPN SOCKS tunnel; bundle uploaded to Hugging Face's cloud storage. moon-bot / moon-landing / workloads / xetcas source code exfiltrated.,,,
2026-07-13T00:54,2026-07-13 00:54 UTC,openai-technical-report-t2,no,2,,Cloud data and git history exfiltrated,"Large-scale exfiltration of Hugging Face's public cloud environment using harvested authentication key, encrypted moon-bot data and full git history of moon-bot repository were obtained.",,,
2026-07-13T03:06,2026-07-13 03:06 UTC,openai-technical-report-t2,no,2,,JRuby RCE staged in Artifactory,Artifactory's RubyGems handler verified; JRuby deserialization RCE chain staged in Artifactory. Agents hold a working attack vector against Artifactory but explicitly hold for an agent coordination signal.,,,
2026-07-13T08:46,2026-07-13 08:46 UTC,openai-technical-report-t1,yes,1,,Artifactory admin token forged,"Agents exploited the JRuby/Ruby Marshal deserialization RCE to execute code in Artifactory and steal its token-signing key, then used the key to forge an RS256 administrator JWT that Artifactory accepted. Agents mint admin-level credentials.",,,
2026-07-13T09:16,2026-07-13 09:16 UTC,openai-technical-report-t2,no,2,,Artifactory admin inventory swept,Forged admin credential used to sweep 8 Artifactory admin-only API endpoints. Full administrative inventory of Artifactory users/groups/permissions/licenses obtained.,,,
2026-07-15T12:00,"July 15, 2026",openai-blog,no,,security,GPT-Red: Unlocking Self-Improvement for Robustness,"Explore GPT-Red, OpenAI's automated red teaming system that uses self-play to improve AI safety, alignment, and prompt injection robustness.",https://openai.com/index/unlocking-self-improvement-gpt-red/,,
